Elapsed time: 7.436271905899048
OnTime_1 5 2 137 0
OnTime_1 5 1 145 1
OnTime_1 5 2 145 1
OnTime_1 5 1 146 0
OnTime_1 5 2 146 0
OnTime_1 5 1 164 0
OnTime_1 5 2 164 0
OnTime_1 5 1 173 0
OnTime_1 5 2 173 0
OnTime_1 5 1 174 0
OnTime_1 5 2 174 0
OnTime_1 5 1 175 0
OnTime_1 5 2 175 0
OnTime_1 5 1 176 0
OnTime_1 5 2 176 0
OnTime_1 5 1 177 0
OnTime_1 5 2 177 0
OnTime_1 5 1 179 0
OnTime_1 5 2 179 0
OnTime_1 5 1 183 0
OnTime_1 5 2 183 0
OnTime_1 5 1 186 0
OnTime_1 5 2 186 0
OnTime_1 5 1 187 0
OnTime_1 5 2 187 0
OnTime_1 5 1 188 0
OnTime_1 5 2 188 0
OnTime_1 5 1 190 0
OnTime_1 5 2 190 0
OnTime_1 5 1 198 0
OnTime_1 5 2 198 0
OnTime_1 5 1 209 0
OnTime_1 5 2 209 0
OnTime_1 6 1 63 0
OnTime_1 6 2 63 0
OnTime_1 6 1 66 0
OnTime_1 6 2 66 0
OnTime_1 6 1 67 0
OnTime_1 6 2 67 0
OnTime_1 6 1 72 0
OnTime_1 6 2 72 0
OnTime_1 6 1 75 0
OnTime_1 6 2 75 0
OnTime_1 6 1 86 0
OnTime_1 6 2 86 0
OnTime_1 6 1 88 0
OnTime_1 6 2 88 0
OnTime_1 6 1 95 0
OnTime_1 6 2 95 0
OnTime_1 6 1 121 0
OnTime_1 6 2 121 0
OnTime_1 6 1 123 0
OnTime_1 6 2 123 0
OnTime_1 6 1 124 0
OnTime_1 6 2 124 0
OnTime_1 6 1 128 0
OnTime_1 6 2 128 0
OnTime_1 6 1 129 0
OnTime_1 6 2 129 0
OnTime_1 6 1 130 0
OnTime_1 6 2 130 0
OnTime_1 6 1 137 0
OnTime_1 6 2 137 0
OnTime_1 6 1 145 0
OnTime_1 6 2 145 0
OnTime_1 6 1 146 -0
OnTime_1 6 2 146 0
OnTime_1 6 1 164 0
OnTime_1 6 2 164 0
OnTime_1 6 1 173 0
OnTime_1 6 2 173 0
OnTime_1 6 1 174 0
OnTime_1 6 2 174 0
OnTime_1 6 1 175 0
OnTime_1 6 2 175 0
OnTime_1 6 1 176 0
OnTime_1 6 2 176 0
OnTime_1 6 1 177 0
OnTime_1 6 2 177 0
OnTime_1 6 1 179 0
OnTime_1 6 2 179 0
OnTime_1 6 1 183 0
OnTime_1 6 2 183 0
OnTime_1 6 1 186 0
OnTime_1 6 2 186 0
OnTime_1 6 1 187 0
OnTime_1 6 2 187 0
OnTime_1 6 1 188 0
OnTime_1 6 2 188 0
OnTime_1 6 1 190 0
OnTime_1 6 2 190 0
OnTime_1 6 1 198 0
OnTime_1 6 2 198 0
OnTime_1 6 1 209 0
OnTime_1 6 2 209 0
OnTime_1 7 1 63 -0
OnTime_1 7 2 63 -0
OnTime_1 7 1 66 0
OnTime_1 7 2 66 0
OnTime_1 7 1 67 0
OnTime_1 7 2 67 0
OnTime_1 7 1 72 0
OnTime_1 7 2 72 0
OnTime_1 7 1 75 0
OnTime_1 7 2 75 0
OnTime_1 7 1 86 0
OnTime_1 7 2 86 0
OnTime_1 7 1 88 0
OnTime_1 7 2 88 0
OnTime_1 7 1 95 0
OnTime_1 7 2 95 0
OnTime_1 7 1 121 0
OnTime_1 7 2 121 0
OnTime_1 7 1 123 0
OnTime_1 7 2 123 0
OnTime_1 7 1 124 0
OnTime_1 7 2 124 0
OnTime_1 7 1 128 0
OnTime_1 7 2 128 0
OnTime_1 7 1 129 0
OnTime_1 7 2 129 0
OnTime_1 7 1 130 0
OnTime_1 7 2 130 0
OnTime_1 7 1 137 0
OnTime_1 7 2 137 0
OnTime_1 7 1 145 0
OnTime_1 7 2 145 0
OnTime_1 7 1 146 0
OnTime_1 7 2 146 0
OnTime_1 7 1 164 0
OnTime_1 7 2 164 0
OnTime_1 7 1 173 0
OnTime_1 7 2 173 0
OnTime_1 7 1 174 0
OnTime_1 7 2 174 0
OnTime_1 7 1 175 0
OnTime_1 7 2 175 0
OnTime_1 7 1 176 0
OnTime_1 7 2 176 0
OnTime_1 7 1 177 0
OnTime_1 7 2 177 0
OnTime_1 7 1 179 -0
OnTime_1 7 2 179 0
OnTime_1 7 1 183 0
OnTime_1 7 2 183 0
OnTime_1 7 1 186 -0
OnTime_1 7 2 186 -0
OnTime_1 7 1 187 0
OnTime_1 7 2 187 0
OnTime_1 7 1 188 0
OnTime_1 7 2 188 0
OnTime_1 7 1 190 0
OnTime_1 7 2 190 0
OnTime_1 7 1 198 0
OnTime_1 7 2 198 0
OnTime_1 7 1 209 0
OnTime_1 7 2 209 0
OnTime_1 8 1 63 0
OnTime_1 8 2 63 0
OnTime_1 8 1 66 0
OnTime_1 8 2 66 0
OnTime_1 8 1 67 0
OnTime_1 8 2 67 0
OnTime_1 8 1 72 0
OnTime_1 8 2 72 0
OnTime_1 8 1 75 0
OnTime_1 8 2 75 0
OnTime_1 8 1 86 0
OnTime_1 8 2 86 0
OnTime_1 8 1 88 0
OnTime_1 8 2 88 0
OnTime_1 8 1 95 0
OnTime_1 8 2 95 0
OnTime_1 8 1 121 0
OnTime_1 8 2 121 0
OnTime_1 8 1 123 0
OnTime_1 8 2 123 0
OnTime_1 8 1 124 0
OnTime_1 8 2 124 0
OnTime_1 8 1 128 0
OnTime_1 8 2 128 0
OnTime_1 8 1 129 0
OnTime_1 8 2 129 0
OnTime_1 8 1 130 0
OnTime_1 8 2 130 0
OnTime_1 8 1 137 0
