name,I size,L size,S size,model time,best obj,best bound,gap ,status,total time,amb 1,amb 2
Instance_900_16_,900,16,150,10319.92744,9.136088889,9.268941861,1.454155858,2,10974.65846,20,11
Instance_900_16_,900,16,200,5317.451403,9.122,9.350087724,2.500413549,2,10887.85775,20,11
Instance_1500_16_,1500,16,10,66.47123194,10.777,10.777,4.94486E-14,2,67.18995404,20,11
Instance_1500_16_,1500,16,50,822.46453,11.6734,11.7066432,0.284777318,2,3600.255253,20,11
Instance_1500_16_,1500,16,100,10600.64734,10.60205,10.72676151,1.176296159,2,10927.40973,20,11
Instance_1500_16_,1500,16,150,9790.503147,11.38225556,11.45821384,0.66733947,2,11070.2621,20,11
Instance_1500_16_,1500,16,200,635.2613173,7.9547,20.625925,159.2923052,2,13250.63907,20,11
Instance_168_16_,168,16,10,304.85338,5.240500001,5.268075597,0.52620163,2,334.5279071,35,20
Instance_168_16_,168,16,50,9698.48625,4.736800003,4.814019251,1.630198618,2,10805.95841,35,20
Instance_168_16_,168,16,100,10749.16655,4.71345,4.836660399,2.614017307,2,10810.94624,35,20
Instance_168_16_,168,16,150,10669.37369,4.487488889,4.661178391,3.87052774,2,10815.81582,35,20
Instance_168_16_,168,16,200,10210.92743,4.74225,4.944159239,4.257667539,2,10821.51768,35,20
Instance_270_16_,270,16,10,950.5982459,5.225000005,5.264692724,0.759669272,2,1133.294165,35,20
Instance_270_16_,270,16,50,10705.44141,5.6472,5.685805048,0.683613968,2,10807.927,35,20
Instance_270_16_,270,16,100,9441.329329,5.678450003,5.790541694,1.973983947,2,10814.63997,35,20
Instance_270_16_,270,16,150,10818.8057,5.487944444,5.680672715,3.511848058,2,10822.82479,35,20
Instance_270_16_,270,16,200,10780.80246,5.689500001,5.830688101,2.481555494,2,10913.48417,35,20
Instance_500_16_,500,16,10,190.9300501,6.416,6.470541086,0.850079275,2,291.450032,35,20
Instance_500_16_,500,16,50,10241.47419,7.1616,7.198274238,0.512095588,2,10812.51567,35,20
Instance_500_16_,500,16,100,10539.17848,7.079350003,7.175920955,1.364121739,2,10831.0187,35,20
Instance_500_16_,500,16,150,10813.38307,7.20008889,7.31226496,1.557981735,2,10861.31885,35,20
Instance_500_16_,500,16,200,5762.347633,7.527175,7.668548905,1.878180124,2,10901.42736,35,20
Instance_900_16_,900,16,10,80.56976891,8.971,8.980047718,0.100855176,2,80.8860321,35,20
Instance_900_16_,900,16,50,3829.334544,9.418000005,9.452089499,0.361961075,2,10816.32784,35,20
Instance_900_16_,900,16,100,10422.46623,9.3814,9.420208664,0.41367668,2,10927.53302,35,20
Instance_900_16_,900,16,150,10802.79379,9.233466667,9.323096205,0.970703009,2,10998.33893,35,20
Instance_900_16_,900,16,200,9528.501391,9.2854,9.3729994,0.943410086,2,11000.19649,35,20
Instance_1500_16_,1500,16,10,45.05309796,10.8035,10.80998898,0.060063704,2,45.4338069,35,20
Instance_1500_16_,1500,16,50,921.787226,11.6944,11.70646014,0.103127464,2,1012.826935,35,20
Instance_1500_16_,1500,16,100,9187.379897,10.70845,10.7821638,0.688370436,2,10980.43432,35,20
Instance_1500_16_,1500,16,150,9276.584811,11.3985,11.48427509,0.75251211,2,11088.6961,35,20
Instance_1500_16_,1500,16,200,10843.59805,11.11875,11.19216133,0.660248051,2,11040.79621,35,20
