"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","BLS ambulances","ALS ambulances","NA"
270,16,150,2.58071652919933,12.8262712741626,0.355444475640554,84.2375677209975,0,20,20,11
270,16,200,2.6266638010718,13.5139037922765,0.407542568718441,83.4518898379333,0,20,20,11
500,16,10,4.55727145179478,19.3457772173797,0.27027027027027,75.8266810605553,0,20,20,11
500,16,50,3.37319732482869,14.9216515140592,0.322324414715719,81.3828267463964,0,20,20,11
500,16,100,2.75066314198725,14.9839005963298,0.110233842141737,82.1552024195412,0,20,20,11
500,16,150,2.51821635307784,15.4306001157802,0.219690714372042,81.8314928167699,0,20,20,11
500,16,200,2.94196962456532,16.7501166681994,0.216517055056047,80.0913966521793,0,20,20,11
900,16,10,2.54688053624224,18.0060943066262,0,79.4470251571315,0,20,20,11
900,16,50,2.83673221958365,19.7114978878986,0.0958605664488017,77.355909326069,0,20,20,11
900,16,100,3.23278861794206,19.1637855028434,0.161583249425912,77.4418426297887,0,20,20,11
900,16,150,3.88650706334343,19.4334674892998,0.183760858525968,76.4962645888308,0,20,20,11
900,16,200,3.11810079642457,19.169358536998,0.21829980743329,77.4942408591442,0,20,20,11
1500,16,10,3.82612789191464,22.1101913643053,0,74.0636807437801,0,20,20,11
1500,16,50,4.95377055363483,22.9572744926545,0.23687555830413,71.8520793954065,0,20,20,11
1500,16,100,3.76822845677903,21.9047984082869,0.132143778717127,74.1948293562169,0,20,20,11
1500,16,150,3.73593028440344,22.4272395484929,0.192954206503788,73.6438759605999,0,20,20,11
1500,16,200,4.28132772797423,21.7800592905055,0.268295449594553,73.6703175319257,0,20,20,11
168,16,10,3.81399286987522,10.3020942829554,0.4,85.4839128471694,0,35,35,20
168,16,50,3.0782941697897,10.8206264489635,1.32504487461009,84.7760345066367,0,35,35,20
168,16,100,3.67817310190228,12.0806767213387,1.22540879732036,83.0157413794387,0,35,35,20
168,16,150,3.10295770805746,10.071195348337,1.06681557669742,85.7590313669081,0,35,35,20
168,16,200,3.08783224902593,11.2223731532777,0.550092943771584,85.1397016539248,0,35,35,20
270,16,10,3.68685941296169,14.3356342019842,0.958605664488017,81.0189007205662,0,35,35,20
270,16,50,3.73522166357121,11.0236245483706,1.00853067984647,84.2326231082117,0,35,35,20
270,16,100,3.63287328394848,12.3098095647055,0.546543657697718,83.5107734936483,0,35,35,20
270,16,150,3.50845649627505,11.8985313070869,0.70527568148756,83.8877365151505,0,35,35,20
270,16,200,3.4611784139603,12.679389179388,0.748478944870007,83.1109534617817,0,35,35,20
500,16,10,6.25777650229983,17.6452721668746,0.27027027027027,75.8266810605553,0,35,35,20
500,16,50,4.32025125676619,13.9745975821217,0.492603052486617,81.2125481086255,0,35,35,20
500,16,100,3.86805395793382,13.8665097803832,0.187848332914122,82.0775879287688,0,35,35,20
500,16,150,3.84872804155333,14.1000884273048,0.323577110756995,81.7276064203849,0,35,35,20
500,16,200,4.18177666340167,15.510309629363,0.389509370228482,79.9184043370068,0,35,35,20
900,16,10,4.11146671519012,16.4415081276783,0.435606060606061,79.0114190965255,0,35,35,20
900,16,50,4.24783745467725,18.300392652805,0.208476926123985,77.2432929663938,0,35,35,20
900,16,100,4.42090347836043,17.975670642425,0.407717914588565,77.195707964626,0,35,35,20
