name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time,int gap
Instance_1500_16_,1500,16,50,41.74292088,37.152,37.163,0.029608096,2,42.50028205,0
Instance_1500_16_,1500,16,100,75.14913893,33.2293,33.23713688,0.023584249,2,76.69390798,0
Instance_1500_16_,1500,16,150,122.7879257,35.6683,35.67651254,0.023024746,2,125.246557,0
Instance_1500_16_,1500,16,200,164.332274,34.6863,34.70155,0.043965485,2,167.513629,0
Instance_1500_30_,1500,30,10,16.14878225,37.9785,37.9785,7.48363E-14,2,16.81107497,0
Instance_1500_30_,1500,30,50,78.38832784,34.945,34.971,0.074402633,2,79.51082993,0
Instance_1500_30_,1500,30,100,153.799006,34.7144,34.7144,1.39184E-12,2,156.2175901,0
Instance_1500_30_,1500,30,150,265.1846473,36.1957,36.19931638,0.009991192,2,269.6343608,0
Instance_1500_30_,1500,30,200,507.0677421,35.7604,35.76035,0.000139819,2,512.1861382,0
Instance_1500_50_,1500,50,10,20.20395088,32.856,32.856,4.32519E-14,2,21.18557096,0
Instance_1500_50_,1500,50,50,131.7227442,33.656,33.6685,0.03714048,2,133.3349731,0
Instance_1500_50_,1500,50,100,383.6476519,34.5813,34.58125,0.000144587,2,387.37409,0
Instance_1500_50_,1500,50,150,706.2252278,35.5788,35.58215309,0.009424394,2,713.3650351,0
Instance_1500_50_,1500,50,200,928.7108884,35.4084,35.40835,0.000141209,2,940.0355411,0
Instance_1500_70_,1500,70,10,36.82640314,34.774,34.794,0.057514235,2,38.54830122,0
Instance_1500_70_,1500,70,50,232.0119419,35.5025,35.504,0.004225055,2,234.3672252,0
Instance_1500_70_,1500,70,100,549.0051129,35.28,35.28814149,0.023076796,2,567.467149,0
Instance_1500_70_,1500,70,150,1132.781504,34.9458,34.94577778,6.35905E-05,2,1144.024652,0
Instance_1500_70_,1500,70,200,2629.376837,35.6262,35.62865,0.006876961,2,2679.772635,0
Instance_1500_100_,1500,100,10,46.41980815,29.454,29.454,2.41238E-14,2,57.31544685,0
Instance_1500_100_,1500,100,50,380.708921,32.978,32.978,4.13682E-12,2,383.8403239,0
Instance_1500_100_,1500,100,100,2208.025929,35.426,35.42695652,0.002700056,2,2218.306344,0
Instance_1500_100_,1500,100,150,4158.799632,35.1937,35.19367778,6.31426E-05,2,4195.606116,0
Instance_1500_100_,1500,100,200,5879.006886,35.7532,35.7558,0.007272076,2,6218.44441,0
