mejoró 1.6305  GRASP
no mejoró 1.651 en initial L 42 con j = 29 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 30 localsearch 8LS1
no mejoró 1.663 en initial L 42 con j = 31 localsearch 8LS1
no mejoró 1.6715 en initial L 42 con j = 32 localsearch 8LS1
no mejoró 1.733 en initial L 42 con j = 33 localsearch 8LS1
no mejoró 1.7535 en initial L 42 con j = 34 localsearch 8LS1
no mejoró 1.692 en initial L 42 con j = 35 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 36 localsearch 8LS1
no mejoró 1.7125 en initial L 42 con j = 37 localsearch 8LS1
no mejoró 1.6715 en initial L 42 con j = 38 localsearch 8LS1
no mejoró 1.6715 en initial L 42 con j = 39 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 40 localsearch 8LS1
no mejoró 1.6715 en initial L 42 con j = 41 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 43 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 44 localsearch 8LS2
no mejoró 1.815 en initial L 42 con j = 44 localsearch 8LS3
no mejoró 1.6715 en initial L 42 con j = 45 localsearch 8LS1
no mejoró 1.7125 en initial L 42 con j = 46 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 47 localsearch 8LS2
no mejoró 1.815 en initial L 42 con j = 47 localsearch 8LS3
no mejoró 1.692 en initial L 42 con j = 48 localsearch 8LS1
no mejoró 1.6715 en initial L 42 con j = 49 localsearch 8LS2
no mejoró 1.815 en initial L 42 con j = 49 localsearch 8LS3
no mejoró 1.692 en initial L 42 con j = 50 localsearch 8LS1
no mejoró 1.6715 en initial L 42 con j = 51 localsearch 8LS2
no mejoró 1.8355 en initial L 42 con j = 51 localsearch 8LS3
no mejoró 1.651 en initial L 42 con j = 52 localsearch 8LS2
no mejoró 1.815 en initial L 42 con j = 52 localsearch 8LS3
no mejoró 1.651 en initial L 42 con j = 53 localsearch 8LS2
no mejoró 1.815 en initial L 42 con j = 53 localsearch 8LS3
no mejoró 1.651 en initial L 42 con j = 54 localsearch 8LS2
no mejoró 1.815 en initial L 42 con j = 54 localsearch 8LS3
no mejoró 1.692 en initial L 42 con j = 55 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 56 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 57 localsearch 8LS2
no mejoró 1.815 en initial L 42 con j = 57 localsearch 8LS3
no mejoró 1.651 en initial L 42 con j = 58 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 59 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 60 localsearch 8LS1
no mejoró 1.692 en initial L 42 con j = 61 localsearch 8LS1
no mejoró 1.6715 en initial L 42 con j = 62 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 63 localsearch 8LS2
no mejoró 1.815 en initial L 42 con j = 63 localsearch 8LS3
no mejoró 1.692 en initial L 42 con j = 64 localsearch 8LS1
no mejoró 1.692 en initial L 42 con j = 65 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 66 localsearch 8LS2
no mejoró 1.815 en initial L 42 con j = 66 localsearch 8LS3
no mejoró 1.651 en initial L 42 con j = 67 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 68 localsearch 8LS2
no mejoró 1.815 en initial L 42 con j = 68 localsearch 8LS3
no mejoró 1.651 en initial L 42 con j = 69 localsearch 8LS1
no mejoró 1.733 en initial L 42 con j = 70 localsearch 8LS1
no mejoró 1.692 en initial L 42 con j = 71 localsearch 8LS1
no mejoró 1.692 en initial L 42 con j = 72 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 73 localsearch 8LS2
no mejoró 1.815 en initial L 42 con j = 73 localsearch 8LS3
no mejoró 1.692 en initial L 42 con j = 74 localsearch 8LS1
no mejoró 1.7125 en initial L 42 con j = 75 localsearch 8LS1
no mejoró 1.7535 en initial L 42 con j = 76 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 77 localsearch 8LS2
no mejoró 1.815 en initial L 42 con j = 77 localsearch 8LS3
no mejoró 1.651 en initial L 42 con j = 78 localsearch 8LS2
no mejoró 1.815 en initial L 42 con j = 78 localsearch 8LS3
no mejoró 1.692 en initial L 42 con j = 79 localsearch 8LS1
no mejoró 1.663 en initial L 42 con j = 80 localsearch 8LS1
no mejoró 1.663 en initial L 42 con j = 81 localsearch 8LS1
no mejoró 1.733 en initial L 42 con j = 82 localsearch 8LS1
no mejoró 1.663 en initial L 42 con j = 83 localsearch 8LS1
no mejoró 1.7125 en initial L 42 con j = 84 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 85 localsearch 8LS2
no mejoró 1.815 en initial L 42 con j = 85 localsearch 8LS3
no mejoró 1.7125 en initial L 42 con j = 86 localsearch 8LS1
no mejoró 1.6715 en initial L 42 con j = 87 localsearch 8LS1
no mejoró 1.6715 en initial L 42 con j = 88 localsearch 8LS1
no mejoró 1.692 en initial L 42 con j = 89 localsearch 8LS1
no mejoró 1.7535 en initial L 42 con j = 90 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 91 localsearch 8LS1
no mejoró 1.6715 en initial L 42 con j = 92 localsearch 8LS1
no mejoró 1.692 en initial L 42 con j = 93 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 94 localsearch 8LS2
no mejoró 1.815 en initial L 42 con j = 94 localsearch 8LS3
no mejoró 1.651 en initial L 42 con j = 95 localsearch 8LS2
no mejoró 1.815 en initial L 42 con j = 95 localsearch 8LS3
no mejoró 1.7125 en initial L 42 con j = 96 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 97 localsearch 8LS2
no mejoró 1.815 en initial L 42 con j = 97 localsearch 8LS3
no mejoró 1.7125 en initial L 42 con j = 98 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 99 localsearch 8LS2
no mejoró 1.815 en initial L 42 con j = 99 localsearch 8LS3
no mejoró 1.856 en initial L 44 con j = 0 localsearch 8LS2
no mejoró 1.856 en initial L 44 con j = 0 localsearch 8LS3
no mejoró 1.856 en initial L 44 con j = 1 localsearch 8LS1
no mejoró 1.856 en initial L 44 con j = 2 localsearch 8LS1
mejoró 1.897 en initial L 44 con j = 3 localsearch 8  LS1
no mejoró 1.815 en initial L 47 con j = 0 localsearch 9LS2
no mejoró 1.897 en initial L 47 con j = 0 localsearch 9LS3
no mejoró 1.815 en initial L 47 con j = 1 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 2 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 3 localsearch 9LS2
no mejoró 1.897 en initial L 47 con j = 3 localsearch 9LS3
no mejoró 1.815 en initial L 47 con j = 4 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 5 localsearch 9LS1
no mejoró 1.856 en initial L 47 con j = 6 localsearch 9LS1
no mejoró 1.8355 en initial L 47 con j = 7 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 8 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 9 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 10 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 11 localsearch 9LS1
