 Fecha, Hora, Nombre_de_la_Vialidad, Georreferencia,Numero,Demanda,Punto,Proporción
20/01/2022,15:59:00,ant cam a villa de santiago,"25.6295031, -100.2859544",52,1,cerro largo,0.001109878
03/01/2022,11:07:00,antigua carretera nacional,"25.6619121, -100.2989456",53,8,chapultepec,0.008879023
11/01/2022,13:29:00,antiguos ejidatarios,"25.7741513, -100.4114707",54,6,churubusco,0.006659267
24/01/2022,12:41:00,antiguos ejidatarios,"25.7741513, -100.4114707",55,1,claveles,0.001109878
13/01/2022,10:35:00,antonio guerra,"25.6291449, -100.2841978",56,1,coahuila,0.001109878
13/01/2022,11:27:00,antonio i villarreal,"25.6866547, -100.2777111",57,1,colima,0.001109878
22/01/2022,11:40:00,antonio i villarreal,"25.6866547, -100.2777111",58,12,colon,0.013318535
25/01/2022,12:39:00,antonio i villarreal,"25.6840927, -100.2777048",59,50,constitucion,0.055493896
29/01/2022,10:10:00,antonio i villarreal,"25.6866547, -100.2777111",60,1,cruz m villarreal,0.001109878
05/01/2022,09:40:00,antonio l rodriguez,"25.6705377, -100.3652593",61,10,cuauhtemoc,0.011098779
11/01/2022,11:10:00,antonio l rodriguez,"25.673329, -100.3569021",62,1,cumbres del sol,0.001109878
11/01/2022,11:51:00,antonio l rodriguez,"25.6705377, -100.3652593",63,1,cumbres elite,0.001109878
13/01/2022,08:30:00,antonio l rodriguez,"25.6705377, -100.3652593",64,2,de los astros,0.002219756
18/01/2022,14:13:00,antonio l rodriguez,"25.6705377, -100.3652593",65,2,degollado,0.002219756
20/01/2022,08:21:00,antonio l rodriguez,"25.6705377, -100.3652593",66,1,delicias,0.001109878
25/01/2022,09:30:00,antonio l rodriguez,"25.673329, -100.3569021",67,1,diapason,0.001109878
26/01/2022,13:40:00,antonio l rodriguez,"25.6705377, -100.3652593",68,7,diaz ordaz,0.007769145
31/01/2022,08:26:00,antonio l rodriguez,"25.6705377, -100.3652593",69,2,diego de montemayor,0.002219756
25/01/2022,09:44:00,apolo,"25.7689605, -100.3674719",70,1,diego diaz de berlanga,0.001109878
31/01/2022,14:39:00,apolo,"25.7696228, -100.374527",71,3,edison,0.003329634
07/01/2022,09:42:00,aramberri,"25.6764632, -100.3172189",72,2,emiliano zapata,0.002219756
20/01/2022,14:50:00,aramberri,"25.6764632, -100.3172189",73,2,emilio carranza,0.002219756
21/01/2022,10:03:00,aramberri,"25.6764632, -100.3172189",74,4,enrique c livas,0.004439512
22/01/2022,08:02:00,aramberri,"25.6764632, -100.3172189",75,1,epicalia,0.001109878
27/01/2022,08:39:00,aramberri,"25.6764632, -100.3172189",76,1,escobedo,0.001109878
31/01/2022,11:16:00,arboledas,"25.7895035, -100.4009735",77,3,espinosa,0.003329634
10/01/2022,10:09:00,arteaga,"25.6834076, -100.3162895",78,1,federico gomez garcia,0.001109878
10/01/2022,10:30:00,arteaga,"25.6834076, -100.3162895",79,1,felipe de jesus benavides,0.001109878
26/01/2022,11:46:00,arteaga,"25.6834076, -100.3162895",80,1,felipe guerra castro,0.001109878
13/01/2022,14:30:00,av fundidora,"25.6788381, -100.2904779",81,17,felix u gomez,0.018867925
20/01/2022,11:46:00,av fundidora,"25.6788381, -100.2904779",82,1,fernando garcia roel,0.001109878
28/01/2022,12:39:00,av fundidora,"25.6788381, -100.2904779",83,1,ferrocarrilera,0.001109878
31/01/2022,09:15:00,av fundidora,"25.6788381, -100.2904779",84,14,fidel velazquez,0.015538291
24/01/2022,13:51:00,av san francisco,"25.6665924, -100.3458451",85,1,francisco lagos chazaro,0.001109878
07/01/2022,15:51:00,av san jeronimo,"25.6751802, -100.3612681",86,2,francisco marquez,0.002219756
14/01/2022,13:15:00,av san jeronimo,"25.6751802, -100.3612681",87,1,galeana,0.001109878
05/01/2022,14:12:00,av san nicolas,"25.7015622, -100.3006367",88,1,garcia de arellano,0.001109878
07/01/2022,08:02:00,ayutla,"25.6610938, -100.3031005",89,1,garza,0.001109878
01/01/2022,09:35:00,aztlan,"25.7534746, -100.3701372",90,28,garza sada,0.031076582
03/01/2022,09:16:00,aztlan,"25.7567758, -100.3509303",91,1,gomez morin,0.001109878
04/01/2022,14:28:00,aztlan,"25.7330291, -100.3483369",92,74,gonzalitos,0.082130966
06/01/2022,10:12:00,aztlan,"25.7419696, -100.3551691",93,1,guadalupe victoria,0.001109878
08/01/2022,13:27:00,aztlan,"25.7639843, -100.3789955",94,4,guerrero,0.004439512
08/01/2022,13:30:00,aztlan,"25.763985, -100.3789942",95,1,hacienda coyoacan,0.001109878
08/01/2022,13:43:00,aztlan,"25.7639843, -100.3789955",96,1,hernando de soto,0.001109878
09/01/2022,13:15:00,aztlan,"25.737485, -100.3505962",97,1,hidalgo,0.001109878
10/01/2022,08:21:00,aztlan,"25.7419696, -100.3551691",98,1,hierro,0.001109878
11/01/2022,15:30:00,aztlan,"25.7419696, -100.3551691",99,5,hilario martinez,0.00554939
17/01/2022,10:06:00,aztlan,"25.7567758, -100.3509303",100,4,insurgentes,0.004439512
17/01/2022,14:22:00,aztlan,"25.7534746, -100.3701372",101,2,isaac garza,0.002219756
21/01/2022,08:35:00,aztlan,"25.7372336, -100.3572671",102,1,j g leal,0.001109878
24/01/2022,12:25:00,aztlan,"25.7484012, -100.3618302",103,1,jalisco,0.001109878
26/01/2022,09:50:00,aztlan,"25.7372336, -100.3572671",104,1,jimenez,0.001109878
26/01/2022,10:03:00,aztlan,"25.7534746, -100.3701372",105,1,joaquin garcia,0.001109878
30/01/2022,15:18:00,aztlan,"25.7563381, -100.3897967",106,2,jose a conchello,0.002219756
04/01/2022,08:48:00,bernardo reyes,"25.719148, -100.3299467",107,1,jose luna ayala,0.001109878
05/01/2022,11:17:00,bernardo reyes,"25.6929268, -100.3240908",108,3,jose refugio velazquez,0.003329634
07/01/2022,10:05:00,bernardo reyes,"25.7054351, -100.3266576",109,1,jose timoteo rosales,0.001109878
10/01/2022,12:39:00,bernardo reyes,"25.7008088, -100.3256822",110,1,juan de dios treviño,0.001109878
11/01/2022,08:09:00,bernardo reyes,"25.7282178, -100.3316565",111,1,juan de la barrera,0.001109878
14/01/2022,09:45:00,bernardo reyes,"25.7111404, -100.327913",112,3,juan i ramon,0.003329634
16/01/2022,10:16:00,bernardo reyes,"25.7326066, -100.3326754",113,4,juarez,0.004439512
18/01/2022,09:02:00,bernardo reyes,"25.7238037, -100.3306357",114,1,julio a roca,0.001109878
18/01/2022,09:14:00,bernardo reyes,"25.7111404, -100.327913",115,1,junco de la vega,0.001109878
18/01/2022,11:00:00,bernardo reyes,"25.7146996, -100.3287058",116,1,juventino rosas,0.001109878
20/01/2022,15:12:00,bernardo reyes,"25.7146996, -100.3287058",117,2,ladron de guevara,0.002219756
28/01/2022,14:48:00,bernardo reyes,"25.7146996, -100.3287058",118,1,lago de chapala,0.001109878
30/01/2022,11:28:00,bernardo reyes,"25.6929268, -100.3240908",119,1,laguna del carmen,0.001109878
24/01/2022,14:22:00,blvd acapulco,"25.6227278, -100.2810079",120,1,las rocas,0.001109878
22/01/2022,14:12:00,bolivia,"25.6871585, -100.3558027",121,17,lazaro cardenas,0.018867925
28/01/2022,09:42:00,bolivia,"25.6871585, -100.3558027",122,3,leon guzman,0.003329634
28/01/2022,09:50:00,bolivia,"25.6871585, -100.3558027",123,47,leones,0.052164262
28/01/2022,11:00:00,bolivia,"25.6871585, -100.3558027",124,3,libertad,0.003329634
16/01/2022,12:03:00,cabezada,"25.7791498, -100.3916966",125,37,lincoln,0.041065483
22/01/2022,10:43:00,cabezada,"25.7836453, -100.4053313",126,1,loma larga,0.001109878
29/01/2022,08:59:00,cabezada,"25.7836453, -100.4053313",127,1,loma redonda,0.001109878
14/01/2022,14:14:00,camino a la costa,"25.6406935, -100.2712119",128,2,los angeles,0.002219756
05/01/2022,11:08:00,camino a la lagrima,"25.5864819, -100.2501146",129,7,luis d colosio,0.007769145
27/01/2022,09:06:00,camino a valle alto,"25.5698578, -100.2722262",130,1,luis g urbina,0.001109878
01/01/2022,15:14:00,camino al mirador,"25.6261007, -100.2989694",131,3,luis mora,0.003329634
29/01/2022,15:10:00,camino de los halcones,"25.6753664, -100.3697968",132,2,luis moreno,0.002219756
01/01/2022,15:38:00,camino real,"25.7578487, -100.3554533",133,1,maclovio herrera,0.001109878
09/01/2022,08:37:00,camino real,"25.7633467, -100.3618489",134,30,madero,0.033296337
14/01/2022,15:49:00,camino real,"25.7633467, -100.3618489",135,1,madero prol,0.001109878
21/01/2022,09:30:00,camino real,"25.6339623, -100.2956833",136,1,magallanes,0.001109878
27/01/2022,09:59:00,camino real,"25.7674539, -100.3667372",137,2,magnolia,0.002219756
04/01/2022,11:35:00,cañon grande,"25.5896187, -100.2546658",138,1,manuel belgrano,0.001109878
04/01/2022,08:22:00,carlos salazar,"25.6836973, -100.3268609",139,1,manuel chao,0.001109878
31/01/2022,12:25:00,carlos salazar,"25.6836973, -100.3268609",140,1,manuel de la peña y peña,0.001109878
04/01/2022,11:58:00,carretera nacional,"25.4187497, -100.1430769",141,1,manuel j clouthier,0.001109878
04/01/2022,15:00:00,carretera nacional,"25.6622922, -100.2746388",142,4,manuel l barragan,0.004439512
14/01/2022,13:31:00,carretera nacional,"25.4187497, -100.1430769",143,1,manuel ma lombardini,0.001109878
21/01/2022,11:45:00,carretera nacional,"25.4187497, -100.1430769",144,1,mar jonico,0.001109878
10/01/2022,08:02:00,cedro,"25.7007545, -100.293116",145,1,mar rojo,0.001109878
26/01/2022,12:06:00,celso cepeda,"25.7498993, -100.3844785",146,2,martin de zavala,0.002219756
28/01/2022,12:30:00,celso cepeda,"25.7498993, -100.3844785",147,4,matamoros,0.004439512
27/01/2022,09:30:00,cerro de la silla,"25.6223468, -100.2921708",148,1,miacatlan,0.001109878
14/01/2022,13:02:00,cerro largo,"25.7258926, -100.3595992",149,2,miguel nieto,0.002219756
06/01/2022,11:53:00,chapultepec,"25.6662283, -100.2721497",150,1,milan,0.001109878
10/01/2022,13:10:00,chapultepec,"25.6669462, -100.2822793",151,1,mina,0.001109878
10/01/2022,15:10:00,chapultepec,"25.6669462, -100.2822793",152,3,mm de llano,0.003329634
13/01/2022,15:14:00,chapultepec,"25.6669462, -100.2822793",153,1,modesto arreola,0.001109878
18/01/2022,12:19:00,chapultepec,"25.6662283, -100.2721497",154,5,moises saenz,0.00554939
29/01/2022,13:07:00,chapultepec,"25.6669462, -100.2822793",155,1,montemorelos,0.001109878
30/01/2022,15:36:00,chapultepec,"25.6669462, -100.2822793",156,1,monterrey,0.001109878
31/01/2022,08:47:00,chapultepec,"25.6669462, -100.2822793",157,24,morones prieto,0.02663707
10/01/2022,14:16:00,churubusco,"25.6838204, -100.2682107",158,1,nardo,0.001109878
20/01/2022,08:26:00,churubusco,"25.6867328, -100.26827",159,1,nicolas bravo,0.001109878
27/01/2022,14:25:00,churubusco,"25.6984897, -100.2683899",160,2,no reeleccion,0.002219756
29/01/2022,12:38:00,churubusco,"25.6838204, -100.2682107",161,1,nueva escocia,0.001109878
29/01/2022,14:36:00,churubusco,"25.6914753, -100.2682247",162,2,pablo a de la garza,0.002219756
31/01/2022,11:21:00,churubusco,"25.6838204, -100.2682107",163,5,pablo gonzalez g.,0.00554939
11/01/2022,14:40:00,claveles,"25.655048, -100.2903289",164,5,padre mier,0.00554939
14/01/2022,15:52:00,coahuila,"25.6570977, -100.3100156",165,1,palestina,0.001109878
19/01/2022,12:59:00,colima,"25.6588857, -100.3218622",166,2,paricutin,0.002219756
01/01/2022,10:40:00,colon,"25.6836856, -100.2845659",167,1,paseo de cumbres,0.001109878
04/01/2022,15:15:00,colon,"25.6876835, -100.331672",168,1,paseo de la hacienda,0.001109878
05/01/2022,12:20:00,colon,"25.6881149, -100.3349709",169,1,paseo de las estrellas,0.001109878
05/01/2022,12:35:00,colon,"25.6838946, -100.2918493",170,1,paseo de los jazmines,0.001109878
07/01/2022,14:41:00,colon,"25.6838946, -100.2918493",171,1,paseo de los pinos,0.001109878
17/01/2022,15:00:00,colon,"25.6876835, -100.331672",172,3,pedro infante,0.003329634
18/01/2022,08:40:00,colon,"25.6883017, -100.3369083",173,1,pedro ma anaya,0.001109878
19/01/2022,08:57:00,colon,"25.6817363, -100.2753155",174,2,pedro martinez,0.002219756
19/01/2022,12:40:00,colon,"25.6876835, -100.331672",175,1,pedro mendoza,0.001109878
20/01/2022,08:36:00,colon,"25.6881149, -100.3349709",176,3,pelicano,0.003329634
24/01/2022,11:15:00,colon,"25.6876835, -100.331672",177,1,penelope,0.001109878
26/01/2022,11:15:00,colon,"25.6876835, -100.331672",178,4,penitenciaria,0.004439512
03/01/2022,09:01:00,constitucion,"25.6727925, -100.352228",179,13,pino suarez,0.014428413
04/01/2022,08:37:00,constitucion,"25.664449, -100.3140082",180,1,pirineos,0.001109878
04/01/2022,08:58:00,constitucion,"25.664449, -100.3140082",181,2,platon sanchez,0.002219756
04/01/2022,10:58:00,constitucion,"25.6727925, -100.352228",182,1,porque poniente,0.001109878
05/01/2022,13:01:00,constitucion,"25.664449, -100.3140082",183,2,priv santa maria,0.002219756
05/01/2022,14:00:00,constitucion,"25.7633006, -100.2419641",184,1,progreso,0.001109878
05/01/2022,14:39:00,constitucion,"25.7633006, -100.2419641",185,1,puerto mazatlan,0.001109878
07/01/2022,11:23:00,constitucion,"25.6696945, -100.2962445",186,1,puerto rico,0.001109878
07/01/2022,11:55:00,constitucion,"25.6696945, -100.2962445",187,1,ramon treviño,0.001109878
07/01/2022,14:11:00,constitucion,"25.6727925, -100.352228",188,11,rangel frias,0.012208657
08/01/2022,09:30:00,constitucion,"25.6696945, -100.2962445",189,1,rayados,0.001109878
09/01/2022,11:57:00,constitucion,"25.664449, -100.3140082",190,1,rayon,0.001109878
10/01/2022,08:35:00,constitucion,"25.7633006, -100.2419641",191,1,real de cumbres,0.001109878
10/01/2022,09:22:00,constitucion,"25.664449, -100.3140082",192,3,reforma,0.003329634
10/01/2022,12:10:00,constitucion,"25.68249, -100.266366",193,31,revolucion,0.034406215
10/01/2022,12:23:00,constitucion,"25.664449, -100.3140082",194,1,rio danubio,0.001109878
10/01/2022,13:18:00,constitucion,"25.6727925, -100.352228",195,1,rio de janeiro,0.001109878
12/01/2022,09:24:00,constitucion,"25.664449, -100.3140082",196,1,rio nazas,0.001109878
12/01/2022,13:59:00,constitucion,"25.664449, -100.3140082",197,2,rio panuco,0.002219756
14/01/2022,15:40:00,constitucion,"25.6696945, -100.2962445",198,1,rio papagayos,0.001109878
16/01/2022,12:40:00,constitucion,"25.6696945, -100.2962445",199,1,roberto j cantu,0.001109878
16/01/2022,14:23:00,constitucion,"25.664449, -100.3140082",200,4,rodrigo gomez,0.004439512
17/01/2022,13:59:00,constitucion,"25.6727925, -100.352228",201,8,rogelio cantu,0.008879023
18/01/2022,15:14:00,constitucion,"25.664449, -100.3140082",202,27,ruiz cortines,0.029966704
19/01/2022,08:25:00,constitucion,"25.664449, -100.3140082",203,4,ruperto martinez,0.004439512
19/01/2022,12:13:00,constitucion,"25.6696945, -100.2962445",204,1,salto del agua,0.001109878
19/01/2022,14:33:00,constitucion,"25.7633006, -100.2419641",205,2,san bernabe,0.002219756
20/01/2022,14:08:00,constitucion,"25.6696945, -100.2962445",206,1,seguridad social,0.001109878
21/01/2022,08:04:00,constitucion,"25.7633006, -100.2419641",207,1,serafin peña,0.001109878
23/01/2022,11:42:00,constitucion,"25.6696945, -100.2962445",208,1,sertoma,0.001109878
23/01/2022,13:33:00,constitucion,"25.68249, -100.266366",209,3,sierra alta,0.003329634
23/01/2022,13:53:00,constitucion,"25.6696945, -100.2962445",210,6,simon bolivar,0.006659267
23/01/2022,14:07:00,constitucion,"25.664449, -100.3140082",211,1,sinaloa,0.001109878
23/01/2022,15:00:00,constitucion,"25.7633006, -100.2419641",212,1,sonora,0.001109878
25/01/2022,08:19:00,constitucion,"25.664449, -100.3140082",213,2,tabasco,0.002219756
25/01/2022,08:50:00,constitucion,"25.664449, -100.3140082",214,1,tapia,0.001109878
25/01/2022,09:38:00,constitucion,"25.664449, -100.3140082",215,3,treviño,0.003329634
25/01/2022,12:49:00,constitucion,"25.68249, -100.266366",216,1,tula,0.001109878
25/01/2022,15:44:00,constitucion,"25.6707182, -100.3461235",217,1,tulancingo,0.001109878
26/01/2022,09:40:00,constitucion,"25.664449, -100.3140082",218,1,uxmal,0.001109878
27/01/2022,09:06:00,constitucion,"25.664449, -100.3140082",219,12,venustiano carranza,0.013318535
28/01/2022,08:29:00,constitucion,"25.6674883, -100.3312605",220,1,via tampico,0.001109878
28/01/2022,09:28:00,constitucion,"25.6696945, -100.2962445",221,1,villagomez,0.001109878
28/01/2022,09:41:00,constitucion,"25.6674883, -100.3312605",222,4,villagran,0.004439512
28/01/2022,12:41:00,constitucion,"25.6696945, -100.2962445",223,8,washington,0.008879023
28/01/2022,12:42:00,constitucion,"25.6696945, -100.2962445",224,1,zapopan,0.001109878
29/01/2022,08:06:00,constitucion,"25.7633006, -100.2419641",225,4,zaragoza,0.004439512
30/01/2022,12:55:00,constitucion,"25.6696945, -100.2962445",226,1,zuazua,0.001109878
31/01/2022,12:30:00,constitucion,"25.7633006, -100.2419641",,,,
31/01/2022,15:07:00,constitucion,"25.6727925, -100.352228",,,,
01/01/2022,09:51:00,cruz m villarreal,"25.7276061, -100.3260008",,,,
01/01/2022,15:43:00,cuauhtemoc,"25.6757314, -100.3183984",,,,
06/01/2022,09:11:00,cuauhtemoc,"25.6638409, -100.3199757",,,,
08/01/2022,10:47:00,cuauhtemoc,"25.6757314, -100.3183984",,,,
18/01/2022,10:31:00,cuauhtemoc,"25.6757314, -100.3183984",,,,
19/01/2022,14:46:00,cuauhtemoc,"25.6757314, -100.3183984",,,,
20/01/2022,11:28:00,cuauhtemoc,"25.6757314, -100.3183984",,,,
21/01/2022,13:16:00,cuauhtemoc,"25.6757314, -100.3183984",,,,
25/01/2022,08:08:00,cuauhtemoc,"25.6757314, -100.3183984",,,,
25/01/2022,12:45:00,cuauhtemoc,"25.6757314, -100.3183984",,,,
28/01/2022,11:46:00,cuauhtemoc,"25.6757314, -100.3183984",,,,
29/01/2022,15:51:00,cumbres del sol,"25.7609535, -100.4261005",,,,
23/01/2022,10:02:00,cumbres elite,"25.72634, -100.3487369",,,,
13/01/2022,08:20:00,de los astros,"25.7750093, -100.4008122",,,,
19/01/2022,14:56:00,de los astros,"25.7769561, -100.3992614",,,,
03/01/2022,14:59:00,degollado,"25.6721933, -100.3372836",,,,
19/01/2022,11:18:00,degollado,"25.6869024, -100.3341702",,,,
19/01/2022,08:57:00,delicias,"25.6939331, -100.34466",,,,
09/01/2022,12:27:00,diapason,"25.7696228, -100.374527",,,,
05/01/2022,15:30:00,diaz ordaz,"25.6744705, -100.4352221",,,,
10/01/2022,09:30:00,diaz ordaz,"25.6724007, -100.3730481",,,,
12/01/2022,10:02:00,diaz ordaz,"25.6724007, -100.3730481",,,,
20/01/2022,08:01:00,diaz ordaz,"25.6724007, -100.3730481",,,,
20/01/2022,12:30:00,diaz ordaz,"25.6724007, -100.3730481",,,,
27/01/2022,11:33:00,diaz ordaz,"25.6734226, -100.3688378",,,,
28/01/2022,10:24:00,diaz ordaz,"25.6724007, -100.3730481",,,,
21/01/2022,10:46:00,diego de montemayor,"25.6759721, -100.3046747",,,,
30/01/2022,14:22:00,diego de montemayor,"25.7897636, -100.380427",,,,
28/01/2022,11:12:00,diego diaz de berlanga,"25.6513737, -100.3088993",,,,
03/01/2022,15:17:00,edison,"25.6952172, -100.3330372",,,,
27/01/2022,11:36:00,edison,"25.6852694, -100.3334074",,,,
27/01/2022,14:22:00,edison,"25.6952172, -100.3330372",,,,
16/01/2022,11:16:00,emiliano zapata,"25.7442488, -100.3505291",,,,
28/01/2022,08:29:00,emiliano zapata,"25.7442488, -100.3505291",,,,
03/01/2022,13:42:00,emilio carranza,"25.6758689, -100.3117201",,,,
29/01/2022,15:17:00,emilio carranza,"25.6758689, -100.3117201",,,,
10/01/2022,08:15:00,enrique c livas,"25.6932688, -100.3563147",,,,
11/01/2022,08:42:00,enrique c livas,"25.6932688, -100.3563147",,,,
23/01/2022,10:29:00,enrique c livas,"25.6932688, -100.3563147",,,,
31/01/2022,09:25:00,enrique c livas,"25.6932688, -100.3563147",,,,
01/01/2022,14:48:00,epicalia,"25.7911222, -100.3770665",,,,
19/01/2022,09:30:00,escobedo,"25.6774473, -100.3102389",,,,
21/01/2022,12:00:00,espinosa,"25.6775456, -100.3111951",,,,
21/01/2022,15:49:00,espinosa,"25.6775456, -100.3111951",,,,
26/01/2022,13:35:00,espinosa,"25.6775456, -100.3111951",,,,
28/01/2022,09:24:00,federico gomez garcia,"25.6701784, -100.2797666",,,,
20/01/2022,13:56:00,felipe de jesus benavides,"25.6802179, -100.3568869",,,,
10/01/2022,10:42:00,felipe guerra castro,"25.7072674, -100.3262918",,,,
03/01/2022,09:50:00,felix u gomez,"25.6876835, -100.2962458",,,,
03/01/2022,10:51:00,felix u gomez,"25.6876835, -100.2962458",,,,
05/01/2022,11:17:00,felix u gomez,"25.6876835, -100.2962458",,,,
07/01/2022,09:47:00,felix u gomez,"25.6876835, -100.2962458",,,,
14/01/2022,08:52:00,felix u gomez,"25.6876835, -100.2962458",,,,
14/01/2022,14:34:00,felix u gomez,"25.6876835, -100.2962458",,,,
18/01/2022,09:56:00,felix u gomez,"25.6876835, -100.2962458",,,,
18/01/2022,09:56:00,felix u gomez,"25.6876835, -100.2962458",,,,
18/01/2022,10:56:00,felix u gomez,"25.6876835, -100.2962458",,,,
20/01/2022,08:18:00,felix u gomez,"25.6876835, -100.2962458",,,,
22/01/2022,13:45:00,felix u gomez,"25.6876835, -100.2962458",,,,
22/01/2022,15:35:00,felix u gomez,"25.6876835, -100.2962458",,,,
26/01/2022,08:01:00,felix u gomez,"25.6876835, -100.2962458",,,,
27/01/2022,11:04:00,felix u gomez,"25.6876835, -100.2962458",,,,
27/01/2022,12:56:00,felix u gomez,"25.6876835, -100.2962458",,,,
28/01/2022,09:43:00,felix u gomez,"25.6876835, -100.2962458",,,,
28/01/2022,13:07:00,felix u gomez,"25.6876835, -100.2962458",,,,
25/01/2022,09:25:00,fernando garcia roel,"25.6537689, -100.2878591",,,,
28/01/2022,14:21:00,ferrocarrilera,"25.7286249, -100.3330978",,,,
05/01/2022,10:35:00,fidel velazquez,"25.7176764, -100.3452881",,,,
10/01/2022,11:25:00,fidel velazquez,"25.7210983, -100.3355574",,,,
