 Fecha, Hora, Nombre_de_la_Vialidad, Georreferencia,Número,Demanda ,Punto,Proporción
06/01/2022,18:11:00,fidel velazquez,"25.7240167, -100.3276512",208,1,tapia,0.001529052
07/01/2022,17:52:00,fidel velazquez,"25.7210983, -100.3355574",209,1,tenochtitlan,0.001529052
09/01/2022,17:30:00,fidel velazquez,"25.7217347, -100.3339563",210,1,tepatitlan,0.001529052
11/01/2022,19:42:00,fidel velazquez,"25.7265784, -100.3225223",211,1,tlatelolco,0.001529052
18/01/2022,18:31:00,fidel velazquez,"25.7217347, -100.3339563",212,3,treviño,0.004587156
19/01/2022,17:55:00,fidel velazquez,"25.7217347, -100.3339563",213,2,uruguay,0.003058104
19/01/2022,18:25:00,fidel velazquez,"25.7265784, -100.3225223",214,8,venustiano carranza,0.012232416
19/01/2022,18:27:00,fidel velazquez,"25.7461103, -100.3533882",215,2,villagran,0.003058104
22/01/2022,18:00:00,fidel velazquez,"25.7265784, -100.3225223",216,3,zaragoza,0.004587156
22/01/2022,18:30:00,fidel velazquez,"25.7265784, -100.3225223",217,1,zempoala,0.001529052
22/01/2022,19:20:00,fidel velazquez,"25.7265784, -100.3225223",218,1,zuazua,0.001529052
23/01/2022,23:30:00,fidel velazquez,"25.7265784, -100.3225223",,,,
23/01/2022,23:56:00,fidel velazquez,"25.7265784, -100.3225223",,,,
28/01/2022,17:43:00,fidel velazquez,"25.7461103, -100.3533882",,,,
29/01/2022,20:52:00,fidel velazquez,"25.7461103, -100.3533882",,,,
31/01/2022,16:19:00,fidel velazquez,"25.7217347, -100.3339563",,,,
31/01/2022,18:08:00,fidel velazquez,"25.7265784, -100.3225223",,,,
04/01/2022,21:52:00,francisco g sada,"25.6808761, -100.344163",,,,
31/01/2022,22:09:00,frijol,"25.7644203, -100.3591605",,,,
20/01/2022,19:12:00,fundadores del ejido,"25.7477957, -100.3832355",,,,
29/01/2022,16:08:00,galeana,"25.7023207, -100.3604937",,,,
01/01/2022,19:23:00,garza sada,"25.6402433, -100.2852769",,,,
03/01/2022,16:56:00,garza sada,"25.6551007, -100.2945953",,,,
05/01/2022,18:30:00,garza sada,"25.6037387, -100.266951",,,,
06/01/2022,17:34:00,garza sada,"25.6551007, -100.2945953",,,,
07/01/2022,18:54:00,garza sada,"25.6402433, -100.2852769",,,,
08/01/2022,17:22:00,garza sada,"25.6522693, -100.2928656",,,,
08/01/2022,17:37:00,garza sada,"25.6456526, -100.2886745",,,,
10/01/2022,17:24:00,garza sada,"25.6522693, -100.2928656",,,,
13/01/2022,18:19:00,garza sada,"25.6402433, -100.2852769",,,,
14/01/2022,17:34:00,garza sada,"25.6402433, -100.2852769",,,,
16/01/2022,20:10:00,garza sada,"25.6402433, -100.2852769",,,,
17/01/2022,18:47:00,garza sada,"25.6551007, -100.2945953",,,,
18/01/2022,16:27:00,garza sada,"25.6522693, -100.2928656",,,,
18/01/2022,17:46:00,garza sada,"25.6456526, -100.2886745",,,,
20/01/2022,18:37:00,garza sada,"25.6456526, -100.2886745",,,,
23/01/2022,23:10:00,garza sada,"25.6456526, -100.2886745",,,,
25/01/2022,16:05:00,garza sada,"25.6625408, -100.2974123",,,,
26/01/2022,16:26:00,garza sada,"25.6402433, -100.2852769",,,,
29/01/2022,17:20:00,garza sada,"25.6648039, -100.2974024",,,,
29/01/2022,17:37:00,garza sada,"25.6456526, -100.2886745",,,,
30/01/2022,20:53:00,garza sada,"25.6551007, -100.2945953",,,,
31/01/2022,16:18:00,garza sada,"25.6648039, -100.2974024",,,,
31/01/2022,22:57:00,garza sada,"25.6443866, -100.2878765",,,,
03/01/2022,16:31:00,gonzalitos,"25.6940699, -100.3512487",,,,
03/01/2022,19:19:00,gonzalitos,"25.6806074, -100.3523157",,,,
03/01/2022,20:20:00,gonzalitos,"25.6936142, -100.3512765",,,,
04/01/2022,19:59:00,gonzalitos,"25.668778, -100.353898",,,,
05/01/2022,18:39:00,gonzalitos,"25.6940699, -100.3512487",,,,
05/01/2022,19:09:00,gonzalitos,"25.6806074, -100.3523157",,,,
05/01/2022,19:15:00,gonzalitos,"25.6936142, -100.3512765",,,,
06/01/2022,16:58:00,gonzalitos,"25.6936142, -100.3512765",,,,
09/01/2022,22:08:00,gonzalitos,"25.6936142, -100.3512765",,,,
10/01/2022,19:00:00,gonzalitos,"25.6936142, -100.3512765",,,,
11/01/2022,17:18:00,gonzalitos,"25.6936142, -100.3512765",,,,
12/01/2022,17:25:00,gonzalitos,"25.6936142, -100.3512765",,,,
12/01/2022,18:47:00,gonzalitos,"25.6936142, -100.3512765",,,,
12/01/2022,23:39:00,gonzalitos,"25.6806074, -100.3523157",,,,
13/01/2022,16:39:00,gonzalitos,"25.6940699, -100.3512487",,,,
13/01/2022,18:20:00,gonzalitos,"25.6936142, -100.3512765",,,,
13/01/2022,19:03:00,gonzalitos,"25.6751286, -100.3524194",,,,
13/01/2022,23:50:00,gonzalitos,"25.6806074, -100.3523157",,,,
14/01/2022,18:22:00,gonzalitos,"25.6806074, -100.3523157",,,,
15/01/2022,16:08:00,gonzalitos,"25.6940699, -100.3512487",,,,
15/01/2022,23:08:00,gonzalitos,"25.711167, -100.35044",,,,
17/01/2022,17:10:00,gonzalitos,"25.6936142, -100.3512765",,,,
17/01/2022,19:16:00,gonzalitos,"25.6751286, -100.3524194",,,,
17/01/2022,19:30:00,gonzalitos,"25.6936142, -100.3512765",,,,
18/01/2022,18:42:00,gonzalitos,"25.711167, -100.35044",,,,
20/01/2022,19:37:00,gonzalitos,"25.6806074, -100.3523157",,,,
21/01/2022,17:56:00,gonzalitos,"25.6940699, -100.3512487",,,,
21/01/2022,21:35:00,gonzalitos,"25.6806074, -100.3523157",,,,
22/01/2022,16:14:00,gonzalitos,"25.6850414, -100.3419113",,,,
22/01/2022,20:33:00,gonzalitos,"25.6806074, -100.3523157",,,,
22/01/2022,21:50:00,gonzalitos,"25.668778, -100.353898",,,,
22/01/2022,22:30:00,gonzalitos,"25.6806074, -100.3523157",,,,
22/01/2022,23:04:00,gonzalitos,"25.668778, -100.353898",,,,
22/01/2022,23:45:00,gonzalitos,"25.6806074, -100.3523157",,,,
23/01/2022,22:58:00,gonzalitos,"25.6806074, -100.3523157",,,,
24/01/2022,14:42:00,gonzalitos,"25.6850414, -100.3419113",,,,
25/01/2022,16:07:00,gonzalitos,"25.6806074, -100.3523157",,,,
25/01/2022,19:41:00,gonzalitos,"25.6940699, -100.3512487",,,,
26/01/2022,18:13:00,gonzalitos,"25.6936142, -100.3512765",,,,
29/01/2022,19:02:00,gonzalitos,"25.6806074, -100.3523157",,,,
29/01/2022,21:47:00,gonzalitos,"25.6936142, -100.3512765",,,,
29/01/2022,22:19:00,gonzalitos,"25.6806074, -100.3523157",,,,
31/01/2022,19:23:00,gonzalitos,"25.668778, -100.353898",,,,
31/01/2022,20:08:00,gonzalitos,"25.6936142, -100.3512765",,,,
07/01/2022,18:43:00,grupera,"25.7731365, -100.3749373",,,,
18/01/2022,18:38:00,guadalupe victoria,"25.6386855, -100.3038061",,,,
04/01/2022,20:08:00,guerrero,"25.6953623, -100.3108287",,,,
13/01/2022,23:09:00,guerrero,"25.6987478, -100.3103664",,,,
17/01/2022,23:45:00,guerrero,"25.690829, -100.3114027",,,,
19/01/2022,18:01:00,guerrero,"25.710579, -100.3088832",,,,
29/01/2022,16:05:00,guerrero,"25.6799064, -100.3128133",,,,
03/01/2022,17:16:00,hidalgo,"25.6775561, -100.2596962",,,,
04/01/2022,20:17:00,hidalgo,"25.6717998, -100.3454842",,,,
21/01/2022,20:35:00,hidalgo,"25.7340829, -100.3235132",,,,
22/01/2022,17:52:00,hidalgo,"25.6775561, -100.2596962",,,,
20/01/2022,20:01:00,hilario martinez,"25.6559705, -100.3052687",,,,
22/01/2022,20:22:00,hilario martinez,"25.6577014, -100.3048695",,,,
24/01/2022,14:20:00,hilario martinez,"25.6545956, -100.3055571",,,,
30/01/2022,20:27:00,hilario martinez,"25.6577014, -100.3048695",,,,
01/01/2022,20:23:00,huelga de cananea,"25.7757093, -100.3735568",,,,
20/01/2022,20:54:00,insurgentes,"25.6803806, -100.3601659",,,,
28/01/2022,17:37:00,isaac garza,"25.6808634, -100.3166237",,,,
27/01/2022,19:23:00,j g leal,"25.6805856, -100.2982995",,,,
08/01/2022,22:16:00,jacala,"25.6920323, -100.3423072",,,,
