 Fecha, Hora, Nombre_de_la_Vialidad, Georreferencia,Numero,Demanda,Punto,Proporción
14/01/2022,06:08:00,simon bolivar,"25.6960632, -100.3434697",95,2,serafin peña,0.007434944
15/01/2022,00:05:00,alfonso reyes,"25.7056567, -100.3148908",96,3,simon bolivar,0.011152416
15/01/2022,14:33:00,alfonso reyes,"25.7056567, -100.3148908",97,1,tucuman,0.003717472
15/01/2022,11:50:00,bernardo reyes,"25.6929268, -100.3240908",98,3,venustiano carranza,0.011152416
15/01/2022,12:23:00,bernardo reyes,"25.6929268, -100.3240908",99,1,villagran,0.003717472
15/01/2022,15:54:00,bernardo reyes,"25.6929268, -100.3240908",100,1,washington,0.003717472
15/01/2022,12:48:00,carretera nacional,"25.4187497, -100.1430769",101,1,zuazua,0.003717472
15/01/2022,12:48:00,carretera nacional,"25.4187497, -100.1430769",,,,
15/01/2022,15:46:00,carretera nacional,"25.4187497, -100.1430769",,,,
15/01/2022,04:00:00,ciudad victoria,"25.7171458, -100.3502969",,,,
15/01/2022,11:39:00,colon,"25.6876835, -100.331672",,,,
15/01/2022,10:05:00,garza sada,"25.6443866, -100.2878765",,,,
15/01/2022,14:35:00,garza sada,"25.6522693, -100.2928656",,,,
15/01/2022,15:17:00,genova,"25.6988684, -100.2647406",,,,
15/01/2022,11:14:00,gonzalitos,"25.711167, -100.35044",,,,
15/01/2022,13:02:00,gonzalitos,"25.6806074, -100.3523157",,,,
15/01/2022,13:10:00,gonzalitos,"25.6806074, -100.3523157",,,,
15/01/2022,14:20:00,gonzalitos,"25.6940699, -100.3512487",,,,
15/01/2022,10:38:00,jose alvarado,"25.659033, -100.2727875",,,,
15/01/2022,12:35:00,las rocas,"25.792083, -100.4157765",,,,
15/01/2022,10:30:00,lazaro cardenas,"25.6521874, -100.3354046",,,,
15/01/2022,01:55:00,leones,"25.7214946, -100.2281834",,,,
15/01/2022,12:26:00,leones,"25.6968778, -100.3508409",,,,
15/01/2022,15:41:00,leones,"25.7528291, -100.4350896",,,,
15/01/2022,09:40:00,lincoln,"25.7800991, -100.4548858",,,,
15/01/2022,14:31:00,lincoln,"25.7201688, -100.3589183",,,,
15/01/2022,13:22:00,no reeleccion,"25.7347986, -100.3638017",,,,
15/01/2022,10:11:00,revolucion,"25.6644631, -100.2837621",,,,
15/01/2022,08:15:00,rogelio cantu,"25.6849535, -100.379859",,,,
15/01/2022,13:01:00,ruiz cortines,"25.7135909, -100.3625074",,,,
15/01/2022,00:01:00,serafin peña,"25.6599536, -100.3277258",,,,
15/01/2022,13:48:00,serafin peña,"25.6747239, -100.3250928",,,,
15/01/2022,15:23:00,simon bolivar,"25.6960632, -100.3434697",,,,
15/01/2022,09:53:00,tucuman,"25.6611471, -100.2763354",,,,
15/01/2022,05:54:00,venustiano carranza,"25.6782339, -100.3322151",,,,
15/01/2022,08:30:00,villagran,"25.6796561, -100.3225579",,,,
16/01/2022,06:31:00,aaron saenz,"25.6746977, -100.3681372",,,,
16/01/2022,07:03:00,aztlan,"25.7563381, -100.3897967",,,,
16/01/2022,01:36:00,de los propietarios,"25.7940433, -100.3812533",,,,
16/01/2022,02:35:00,puerta del sol,"25.6891606, -100.3668218",,,,
16/01/2022,05:50:00,simon bolivar,"25.6960632, -100.3434697",,,,
17/01/2022,01:50:00,bernardo reyes,"25.6929268, -100.3240908",,,,
17/01/2022,00:19:00,garza sada,"25.6522693, -100.2928656",,,,
17/01/2022,02:10:00,jose benitez,"25.6792381, -100.3471206",,,,
17/01/2022,01:15:00,washington,"25.6746527, -100.3164772",,,,
18/01/2022,07:12:00,antigua carretera nacional,"25.6619121, -100.2989456",,,,
18/01/2022,07:11:00,colon,"25.6876835, -100.331672",,,,
18/01/2022,07:31:00,colon,"25.6839012, -100.2835786",,,,
18/01/2022,05:59:00,felix u gomez,"25.6876835, -100.2962458",,,,
18/01/2022,07:59:00,felix u gomez,"25.6876835, -100.2962458",,,,
18/01/2022,03:38:00,lazaro cardenas,"25.6341089, -100.3060995",,,,
18/01/2022,07:40:00,no reeleccion,"25.7671211, -100.3995336",,,,
18/01/2022,02:15:00,revolucion,"25.6313028, -100.2879382",,,,
18/01/2022,07:31:00,reynosa,"25.7092068, -100.3482858",,,,
18/01/2022,07:17:00,ruiz cortines,"25.7041363, -100.3146809",,,,
19/01/2022,02:18:00,caracas,"25.648381, -100.2867955",,,,
19/01/2022,07:29:00,colon,"25.6876835, -100.331672",,,,
19/01/2022,07:15:00,felix u gomez,"25.6876835, -100.2962458",,,,
19/01/2022,06:10:00,fidel velazquez,"25.7265784, -100.3225223",,,,
19/01/2022,00:41:00,leones,"25.7214946, -100.2281834",,,,
19/01/2022,07:32:00,lincoln,"25.7527855, -100.3928213",,,,
20/01/2022,00:46:00,churubusco,"25.6984897, -100.2683899",,,,
20/01/2022,06:09:00,felix u gomez,"25.6876835, -100.2962458",,,,
20/01/2022,07:50:00,gonzalitos,"25.6806074, -100.3523157",,,,
20/01/2022,00:05:00,leones,"25.7154063, -100.3818563",,,,
20/01/2022,02:30:00,leones,"25.7214946, -100.2281834",,,,
21/01/2022,07:18:00,arteaga,"25.6834076, -100.3162895",,,,
21/01/2022,05:00:00,aztlan,"25.7491241, -100.3625711",,,,
21/01/2022,07:43:00,bernardo reyes,"25.7326066, -100.3326754",,,,
21/01/2022,06:51:00,betty leal,"25.6728477, -100.2779764",,,,
21/01/2022,07:22:00,garza sada,"25.6522693, -100.2928656",,,,
21/01/2022,06:25:00,gonzalitos,"25.6806074, -100.3523157",,,,
21/01/2022,07:41:00,gonzalitos,"25.6806074, -100.3523157",,,,
21/01/2022,06:43:00,hilario martinez,"25.653385, -100.3058351",,,,
21/01/2022,06:40:00,leones,"25.7186898, -100.3855692",,,,
21/01/2022,06:49:00,leones,"25.7186898, -100.3855692",,,,
21/01/2022,01:25:00,morones prieto,"25.6678765, -100.2950035",,,,
21/01/2022,07:25:00,revolucion,"25.6644631, -100.2837621",,,,
21/01/2022,03:40:00,ruiz cortines,"25.7028929, -100.32629",,,,
22/01/2022,02:00:00,colon,"25.6836856, -100.2845659",,,,
22/01/2022,02:00:00,colon,"25.6836856, -100.2845659",,,,
22/01/2022,01:43:00,garza sada,"25.6402433, -100.2852769",,,,
22/01/2022,00:21:00,gonzalitos,"25.6806074, -100.3523157",,,,
22/01/2022,07:07:00,madero,"25.6838767, -100.3133762",,,,
22/01/2022,00:59:00,morones prieto,"25.6719674, -100.284706",,,,
22/01/2022,07:24:00,revolucion,"25.6313028, -100.2879382",,,,
23/01/2022,01:23:00,antonio l rodriguez,"25.6693431, -100.3684889",,,,
23/01/2022,06:46:00,constitucion,"25.664449, -100.3140082",,,,
23/01/2022,05:01:00,fidel velazquez,"25.7265784, -100.3225223",,,,
23/01/2022,05:04:00,fidel velazquez,"25.7461103, -100.3533882",,,,
23/01/2022,06:19:00,gardenia,"25.6988965, -100.2871593",,,,
23/01/2022,00:16:00,gemelos,"25.757781, -100.3910322",,,,
23/01/2022,03:27:00,leones,"25.7143915, -100.3805725",,,,
23/01/2022,05:55:00,leones,"25.7186898, -100.3855692",,,,
23/01/2022,06:20:00,leones,"25.7151523, -100.3814323",,,,
23/01/2022,04:25:00,morones prieto,"25.6719674, -100.284706",,,,
23/01/2022,05:54:00,revolucion,"25.6313028, -100.2879382",,,,
23/01/2022,02:57:00,rincon de las cumbres,"25.7236066, -100.3836243",,,,
24/01/2022,01:00:00,carretera nacional,"25.4187497, -100.1430769",,,,
24/01/2022,06:33:00,de los profesionistas,"25.7936291, -100.3834318",,,,
24/01/2022,03:18:00,garza sada,"25.6402433, -100.2852769",,,,
24/01/2022,07:10:00,lincoln,"25.7382506, -100.3774622",,,,
24/01/2022,07:37:00,lincoln,"25.7591326, -100.4018812",,,,
24/01/2022,07:43:00,manuel l barragan,"25.7077623, -100.3168726",,,,
24/01/2022,07:40:00,pablo gonzalez g.,"25.6815832, -100.3503174",,,,
24/01/2022,07:11:00,pedro infante,"25.7357071, -100.3976299",,,,
25/01/2022,00:11:00,apolo,"25.7696228, -100.374527",,,,
25/01/2022,07:55:00,cabezada,"25.7667459, -100.3775735",,,,
25/01/2022,01:56:00,franco,"25.7713047, -100.368424",,,,
25/01/2022,00:04:00,garza sada,"25.6037387, -100.266951",,,,
25/01/2022,07:12:00,lincoln,"25.714394, -100.3498585",,,,
25/01/2022,06:54:00,madero,"25.6874237, -100.3446686",,,,
25/01/2022,07:08:00,venustiano carranza,"25.6687503, -100.3339511",,,,
26/01/2022,06:42:00,aztlan,"25.7484012, -100.3618302",,,,
26/01/2022,01:03:00,constitucion,"25.6696945, -100.2962445",,,,
26/01/2022,01:01:00,francisco marquez,"25.6810681, -100.2905125",,,,
26/01/2022,07:01:00,gomez morin,"25.6448667, -100.3605497",,,,
26/01/2022,07:01:00,gomez morin,"25.6448667, -100.3605497",,,,
26/01/2022,06:26:00,leones,"25.7143915, -100.3805725",,,,
26/01/2022,06:51:00,leones,"25.7143915, -100.3805725",,,,
26/01/2022,00:53:00,linares,"25.7445498, -100.3231306",,,,
26/01/2022,01:32:00,revolucion,"25.6644631, -100.2837621",,,,
26/01/2022,01:30:00,rogelio cantu,"25.6849535, -100.379859",,,,
26/01/2022,06:30:00,santos cantu salinas,"25.6420863, -100.3029112",,,,
27/01/2022,07:52:00,alfonso reyes,"25.7100518, -100.3134255",,,,
27/01/2022,07:26:00,constitucion,"25.7633006, -100.2419641",,,,
27/01/2022,06:39:00,felix u gomez,"25.6876835, -100.2962458",,,,
27/01/2022,00:33:00,iztaccihuatl,"25.7013523, -100.3493986",,,,
27/01/2022,04:13:00,leones,"25.7143915, -100.3805725",,,,
27/01/2022,05:05:00,leones,"25.7143915, -100.3805725",,,,
27/01/2022,05:59:00,leones,"25.7186898, -100.3855692",,,,
27/01/2022,00:50:00,morones prieto,"25.6632461, -100.3182639",,,,
27/01/2022,07:20:00,morones prieto,"25.6719674, -100.284706",,,,
27/01/2022,02:35:00,revolucion,"25.6313028, -100.2879382",,,,
27/01/2022,07:20:00,revolucion,"25.6644631, -100.2837621",,,,
28/01/2022,05:36:00,alfonso reyes,"25.6390178, -100.2847259",,,,
28/01/2022,06:05:00,antiguos ejidatarios,"25.7741513, -100.4114707",,,,
28/01/2022,06:36:00,bernardo reyes,"25.7146996, -100.3287058",,,,
28/01/2022,07:01:00,churubusco,"25.6838204, -100.2682107",,,,
28/01/2022,01:50:00,constitucion,"25.7633006, -100.2419641",,,,
28/01/2022,07:23:00,esquisto,"25.7597855, -100.3731676",,,,
28/01/2022,01:18:00,felix u gomez,"25.6876835, -100.2962458",,,,
28/01/2022,07:15:00,felix u gomez,"25.6876835, -100.2962458",,,,
28/01/2022,06:30:00,fidel velazquez,"25.7265784, -100.3225223",,,,
28/01/2022,07:33:00,galeana,"25.7023207, -100.3604937",,,,
28/01/2022,07:45:00,gonzalitos,"25.6806074, -100.3523157",,,,
28/01/2022,08:00:00,guadalupe victoria,"25.6916634, -100.3354804",,,,
28/01/2022,06:59:00,jose ma vigil,"25.7082225, -100.3041088",,,,
28/01/2022,01:11:00,juan sebastian bach,"25.6863582, -100.3761083",,,,
28/01/2022,06:44:00,juarez,"25.6761698, -100.3144021",,,,
28/01/2022,03:04:00,madero,"25.6819352, -100.2941594",,,,
28/01/2022,08:00:00,morones prieto,"25.6719674, -100.284706",,,,
28/01/2022,00:14:00,rodrigo gomez,"25.7460734, -100.3421159",,,,
29/01/2022,03:06:00,aramberri,"25.6764632, -100.3172189",,,,
29/01/2022,00:16:00,leones,"25.7214946, -100.2281834",,,,
29/01/2022,07:34:00,leones,"25.7214946, -100.2281834",,,,
29/01/2022,01:59:00,ruiz cortines,"25.748986, -100.4093014",,,,
29/01/2022,06:29:00,ruperto martinez,"25.67669, -100.3113027",,,,
29/01/2022,03:36:00,zuazua,"25.6752282, -100.3083735",,,,
30/01/2022,02:42:00,articulo 123,"25.6968713, -100.3357532",,,,
30/01/2022,02:37:00,cabezada,"25.7792838, -100.3898641",,,,
30/01/2022,06:25:00,constitucion,"25.6707182, -100.3461235",,,,
30/01/2022,05:55:00,cuauhtemoc,"25.6757314, -100.3183984",,,,
30/01/2022,03:13:00,david g berlanga,"25.6835464, -100.2784792",,,,
30/01/2022,01:50:00,jose a conchello,"25.7014263, -100.3016161",,,,
30/01/2022,07:53:00,las rocas,"25.7597855, -100.3731676",,,,
30/01/2022,01:16:00,lazaro cardenas,"25.6290318, -100.2854309",,,,
30/01/2022,07:43:00,morones prieto,"25.6719674, -100.284706",,,,
30/01/2022,02:03:00,plumbago,"25.7656177, -100.3894731",,,,
31/01/2022,06:17:00,camino del pastizal,"25.7788033, -100.4024468",,,,
31/01/2022,00:26:00,garza sada,"25.6402433, -100.2852769",,,,
31/01/2022,07:34:00,guerrero,"25.6799064, -100.3128133",,,,
31/01/2022,05:41:00,lincoln,"25.7201688, -100.3589183",,,,
31/01/2022,07:49:00,lincoln,"25.7406777, -100.3795788",,,,
31/01/2022,04:13:00,paseo dinastia,"25.7006772, -100.3751969",,,,
