"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","BLS ambulances","ALS ambulances","NA"
500,16,50,7.61238133535761,1.0161235922537,29.0725504043123,7.7040365684883,54.5949080995881,20,20,11
500,16,100,7.95704462383214,2.71510552638021,29.7080977314552,5.76618349909736,53.8535686192351,20,20,11
500,16,150,7.83091269001234,2.63189710969646,29.6232812507996,5.90684714952835,54.0070617999632,20,20,11
500,16,200,8.74455690722327,2.18952672509075,29.1480637301267,5.45778746345414,54.4600651741051,20,20,11
900,16,10,8.13324960133471,0.458333333333333,25.5454136624349,4.95587655428081,60.9071268486162,20,20,11
900,16,50,8.41165460845169,1.57891667398826,24.9776626391556,4.1694883030131,60.8622777753913,20,20,11
900,16,100,8.33836425270706,0.401358520603372,24.5702341315756,3.57954795489753,63.1104951402164,20,20,11
900,16,150,9.1708015457822,0.508811044989638,23.779454023794,4.42673238368429,62.1142010017499,20,20,11
900,16,200,8.33950173973927,0.623958279688846,24.7165077726897,3.6607095396797,62.6593226682025,20,20,11
1500,16,10,9.91486402411584,0.641787298134047,22.6506594626212,1.81958274063537,64.9731064744936,20,20,11
1500,16,50,9.30038004343909,0.916154659472671,20.4984194645767,2.65895121023394,66.6260946222776,20,20,11
1500,16,100,8.83539857233082,0.284444470619317,21.2552730842623,2.99561729361811,66.6292665791695,20,20,11
1500,16,150,8.38382930277693,0.216261663640418,20.2565950792194,2.69344306756192,68.4498708868014,20,20,11
1500,16,200,8.89223414381454,0.294013472670631,20.8662580401837,2.46569662070758,67.4817977226235,20,20,11
168,16,10,6.67466875313175,6.0260886314279,25.5281847980369,37.9548626023369,23.8161952150665,35,35,20
168,16,50,7.04948159380699,2.96116875007847,22.5120397003502,43.1351486433505,24.3421613124138,35,35,20
168,16,100,7.85325402289982,3.95739212922254,22.9600403507138,40.9370686965007,24.2922448006632,35,35,20
168,16,150,7.05032259927562,5.93668857686888,39.8585534041643,30.567572526523,16.5868628931682,35,35,20
168,16,200,7.58107208281061,6.51539245940304,41.0365878159513,28.2337049360137,16.6332427058213,35,35,20
270,16,10,9.3132179414874,4.76400252891125,25.7376398153168,34.7548197023589,25.4303200119257,35,35,20
270,16,50,8.36536501091515,2.32891995912614,30.06360439925,30.7035618671409,28.5385487635677,35,35,20
270,16,100,8.08527603977923,3.08424302918125,26.59224417925,33.593988002795,28.6442487489945,35,35,20
270,16,150,8.26871435209045,6.43179901906175,40.5572020948165,23.0244402870078,21.7178442470235,35,35,20
270,16,200,8.0071377218004,7.34346616194702,42.7659118147404,21.36501319273,20.5184711087822,35,35,20
500,16,10,14.5751655583299,2.2749257278669,29.2774353553258,25.6182170553367,28.2542563031407,35,35,20
500,16,50,10.3559659381271,2.44172379737732,32.4947291689667,20.7312454085402,33.9763356869886,35,35,20
500,16,100,9.91437674141978,5.61997920683503,40.9586899296243,15.7377068599742,27.7692472621467,35,35,20
500,16,150,9.74000816840472,5.76967944001149,41.3145550554126,14.7985172174125,28.3772401187587,35,35,20
500,16,200,11.1584013977226,5.62315983312916,39.9578821661856,13.4041509555329,29.8564056474298,35,35,20
